,id_lattes,titulo,autores,terms
299,2235374077584809,Uma análise comparativa empírica de algoritmos de busca de padrões,"MOREIRA, G. A.; PEREIRA, S. L.","[('algoritmos', 'uma análise comparativa empírica de algoritmos de busca de padrões')]"
300,2397470551192269,Maximizando a detecção de ataques com algoritmos de aprendizado de máquina através da agregação de fluxos IP,"MORO, FERNANDO LUIZ; AMARAL, ALEXANDRE; NOGUEIRA, RODRIGO; AMARAL, ANA PAULA","[('algoritmos', 'maximizando a detecção de ataques com algoritmos de aprendizado de máquina através da agregação de fluxos ip')]"
301,2498471958439979,Elementos de controle solar desenvolvidos com modelagem paramétrica e algoritmos evolutivos,"CARTANA, Rafael Prado; PEREIRA, Fernando Oscar Ruttkay","[('algoritmos', 'elementos de controle solar desenvolvidos com modelagem paramétrica e algoritmos evolutivos'), ('algoritmos evolutivos', 'elementos de controle solar desenvolvidos com modelagem paramétrica e algoritmos evolutivos')]"
302,2561582437711389,Análise da influência da taxa de aprendizado e do fator de desconto sobre o desempenho dos algoritmos Q-learning e SARSA: aplicação do aprendizado por reforço na navegação autônoma,"OTTONI, A. L. C.; NEPOMUCENO, E. G.; OLIVEIRA, M. S.; CORDEIRO, L. T.; LAMPERTI, R. D.","[('algoritmos', 'análise da influência da taxa de aprendizado e do fator de desconto sobre o desempenho dos algoritmos q-learning e sarsa: aplicação do aprendizado por reforço na navegação autônoma')]"
303,2562657215511839,Resolução de Instâncias do XHSTT Algoritmos Genéticos,"FRANÇOZO, R. V.; JIMENEZ, L. F. S.","[('algoritmos', 'resolução de instâncias do xhstt algoritmos genéticos')]"
304,2609068900467599,Otimização do sistema de abastecimento de água da Barragem de Jucazinho através de programação linear,"SILVA, ANA CARINE DE MELO; SANTANA, CÍCERO FELLIPE DINIZ DE; BRITO, VIRGÍNIA DA COSTA; SILVA, EDUARDO CABRAL DA; RIBEIRO, RÚBIA RAFAELA FERREIRA; PEREIRA, GUSTAVO EUCLIDES DA SILVA","[('programação linear', 'otimização do sistema de abastecimento de água da barragem de jucazinho através de programação linear')]"
305,2712574018120569,"O Problema do Carteiro Chinês, Algoritmos Exatos e um Ambiente MVI para Análise de suas Instâncias: Sistema XNÊS","NEGREIROS, Marcos; COELHO JUNIOR, Wiler Rodrigues; PALHANO, Augusto Wagner de Castro; COUTINHO, E. F.; CASTRO, G. A.; Negreiros Gomes, Francisco José; CUTINI, G.; REZENDE, B. F.; PEREIRA, L. W. L.","[('algoritmos', 'o problema do carteiro chinês, algoritmos exatos e um ambiente mvi para análise de suas instâncias: sistema xnês')]"
306,2712574018120569,PROBLEMA E ALGORITMOS DE COLORAÇÃO EM GRAFOS - EXATOS E HEURÍSTICOS,"Araujo Neto, A.S.; NEGREIROS, Marcos","[('algoritmos', 'problema e algoritmos de coloração em grafos - exatos e heurísticos')]"
307,2855980539505619,UM BREVE ESTUDO SOBRE OS ALGORITMOS DOS VAGA-LUMES E DOS MORCEGOS PARA OTIMIZAÇÃO DE FUNÇÕES DE REFERÊNCIA,"LEITE, IZABELE; MARCONE, MARCOS; PAIVA, FÁBIO","[('algoritmos', 'um breve estudo sobre os algoritmos dos vaga-lumes e dos morcegos para otimização de funções de referência')]"
308,2908958552233469,Desenvolvimento de Algoritmos Simuladores de Fontes Radioativas Planares para Uso em Modelos Computacionais de Exposição,"VIEIRA, J. W.; Leal Neto V.; LIMA FILHO, J. M.; Lima, F. R. A.","[('algoritmos', 'desenvolvimento de algoritmos simuladores de fontes radioativas planares para uso em modelos computacionais de exposição')]"
