ID-Lattes	Título	Ano	Tipo	Título-do-livro	P-inicial	P-final	ISBN	Editora	Palavras-chave	
1805029396938951	Fóruns participativos e governança: uma sistematização das contribuições da literatura	2005	Capítulo de livro publicado	Desenho Institucional e Participação Política: experiência no Brasil contemporâneo	13	32	8532632076	Vozes	['Participação', 'Conselhos de Políticas Públicas', 'Orçamento Participativo']
1805029396938951	Foros participativos y gobernabilidad: una sistematización de las contribuiciones de la literatura	2006	Capítulo de livro publicado	Diseño institucional y participación política, experiencias en el Brasil contemporáneo	15	37		Clacso	['Conselhos de Políticas Públicas', 'Participação', 'Orçamento Participativo']
1805029396938951	Céticos e esperançosos: perspectivas da literatura sobre participação e governança na área da saúde	2006	Capítulo de livro publicado	Gestão em Redes: práticas de avaliação, formação e participação na saúde	311	342	85-89737-3	CEPESC	['Participação']
1805029396938951	Instituições e ação estatal: coordenação horizontal nos governos estaduais catarinense e gaúcho - 2003 a 2006	2006	Capítulo de livro publicado	Governo, políticas públicas e elites políticas nos estados brasileiros	191	226	8571063486	Revan	['Coordenação Horizontal', 'Governo Estadual']
1805029396938951	Viabilizando a participação Conselhos de Política Pública Municipais: arcabouço institucional, organização do movimento popular e policy communities	2007	Capítulo de livro publicado	Políticas Públicas no Brasil	125	144		Fiocruz	['Participação', 'Conselhos de Políticas Públicas']
1805029396938951	Arcabouço institucional e participação em conselhos municipais de saúde e assistência social	2004	Capítulo de livro publicado	Govenança democrática e poder local: a experiência dos conselhos municipais no Brasil	249	286	85-7106-297-8	Revan/Fase	['Participação', 'Conselhos de Políticas Públicas', 'Conselhos de Saúde', 'Conselhos de Assistência Social', 'Metrópoles']
1805029396938951	Sociedade civil, instituições e atores estatais: o que condiciona a ação de atores sociais em fóruns participativos?	2009	Capítulo de livro publicado	Território, economia e sociedade: transformações na Região Metropolitana de Porto Alegre	11	22		FEE	['Participação', 'Sociedade civil']
1805029396938951	Introdução: atores, mecanismos e dinâmicas participativas	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	19	39	9788575411766	Focruz	['Conselho Estadual de Saúde', 'Conselho Nacional de Saúde', 'Conselhos de Políticas Públicas', 'Conselhos Municipais de Saúde', 'Participação', 'Instituições']
1805029396938951	Conselho Nacional de Saúde: histórico, papel institucional e atores estatais e societais	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	41	72	9788575411766	Fiocruz	['Conselho Nacional de Saúde', 'Conselhos de Políticas Públicas', 'Participação', 'Politica de Saude Brasil']
1805029396938951	A dinâmica das relações sociais no Conselho Nacional de Saúde	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	73	110	9788575411766	Fiocruz	['Conselho Estadual de Saúde', 'Conselhos de Políticas Públicas', 'Participação', 'Politica de Saude Brasil']
1805029396938951	O Conselho Estadual de Saúde do Rio Grande do Sul: histórico, funcionamento, atores e dinâmica das relações sociais	2009	Capítulo de livro publicado	Participação e Saúde no Brasil	111	144	9788575411766	Fiocruz	['Conselho Estadual de Saúde', 'Conselhos de Políticas Públicas', 'Participação']
