ID-Lattes	Título	Ano	Tipo	Natureza	Volumes	Páginas	ISBN	Edição	Série	Editora	Palavras-chave	
3386402716993689	O segundo Governo Vargas: democracia, partidos e crise politica	1992	LIVRO_PUBLICADO	TEXTO_INTEGRAL		00181	8508040725	2		Editora Ática	[]
3386402716993689	Vargas e os anos cinquenta	1983	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		155	.	1		Editora da FGV	[]
3386402716993689	Impasse na democracia brasileira 1951/1955	1983	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		477	-	1		Editora da FGV	[]
3386402716993689	Artes da política: diálogos com Amaral Peixoto	1986	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		588	.	2		Nova Fronteira	[]
3386402716993689	Getulismo e trabalhismo	1989	LIVRO_PUBLICADO	TEXTO_INTEGRAL		89	8508034504	1		Editora Ática	[]
3386402716993689	O Golpe Silencioso: As Origens do Estado Corporativo	1989	LIVRO_PUBLICADO	NAO_INFORMADO		00279				RIO FUNDO	['Estado Novo', 'Golpe de 1937', 'Militares']
3386402716993689	Sindicatos, carisma e poder: o PTB de 1945 a 1965	1996	LIVRO_PUBLICADO	TEXTO_INTEGRAL		190	8522501939	1		Fundação Getúlio Vargas	[]
3386402716993689	Visões do golpe: a memória militar sobre 1964	2004	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		257	8500014911	2		Ediouro	[]
3386402716993689	Ernesto Geisel	1997	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		494	8522582277	5		Editora da FGV	[]
3386402716993689	Os anos de chumbo: a memória militar sobre a repressão	1994	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		327	858542785X	1		Relume Dumará	[]
3386402716993689	A volta aos quartéis: a memória militar sobre a abertura	1995	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		329	8573160144	1		Relume Dumará	[]
3386402716993689	21 anos de regime militar, balanços e perspectivas	1994	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		309	8522501769	1		Editora da FGV	[]
3386402716993689	Na corda bamba. Doze ensaios sobre a cultura da inflação	1993	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		196	8585427230	1		Relume Dumará	[]
3386402716993689	Fundação Getulio Vargas, concretização de um ideal	1999	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		334	8522502951	1		Editora da FGV	[]
3386402716993689	As instituições brasileiras da Era Vargas	1999	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		211	8585881828	1		UERJ/Fundação Getulio Vargas	[]
3386402716993689	Na periferia da história. Depoimento de Jorge Oscar de Mello Flores	1998	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	303	8522502544	2		Editora da FGV	[]
3386402716993689	La era de Vargas	1998	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		252	9789681654726	1		Fondo de Cultura economica	[]
3386402716993689	A era Vargas	1998	LIVRO_PUBLICADO	TEXTO_INTEGRAL		103	851604128X	1		Moderna	[]
3386402716993689	O Estado Novo	2000	LIVRO_PUBLICADO	TEXTO_INTEGRAL		74	8571105421	1		Zahar Editora	[]
3386402716993689	Democracia e Forças Armadas no Cone Sul	2000	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		334	8522502994	1		Editora da FGV	[]
3386402716993689	Militares e política na Nova República	2001	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	357	8522503397	1		Editora da FGV	[]
3386402716993689	Dossiê Geisel	2002	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	251	8522503834	1		Editora da FGV	[]
3386402716993689	Capital Social	2003	LIVRO_PUBLICADO	TEXTO_INTEGRAL		67	8571107297	1		Zahar Editora	[]
3386402716993689	Tempos Modernos, João Paulo dos Reis Velloso, memórias do desenvolvimento	2004	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	372	8522504911	1ª		Editora FGV	[]
3386402716993689	Ipea, 40 anos, uma trajetória voltada para o desenvolvimento	2005	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	451	8522505047	1		Editora da FGV	[]
3386402716993689	João Clemente Baena Soares, sem medo da diplomacia	2006	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	128	9788522505685	1		Editora da FGV	[]
3386402716993689	Defesa, segurança internacional e forças armadas - I Encontro da ABED	2008	LIVRO_ORGANIZADO_OU_EDICAO	COLETANEA		328	9788575910948	1		Mercado das Letras	[]
3386402716993689	Defesa, segurança internacional e Forças Armadas - II Encontro da Abed	2009	LIVRO_ORGANIZADO_OU_EDICAO	ANAIS	1	378	9788575911	1		Mercado das Letras	[]
3386402716993689	A elite dirigente do governo Lula	2009	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	140	9788560213061	1		Cpdoc/Fundação Getúlio Vargas	[]
3386402716993689	Militares, democracia e desenvolvimento: Brasil e América do Sul	2010	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	268	9788522508372	1		Editora da Fundação Getulio Vargas	[]
3386402716993689	Getulio Vargas, perfil parlamentar	2011	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	793	9788573658606	1		Câmara dos Deputados, Edições Câmara	[]
