ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores
1805029396938951	Fóruns participatórios na área de saúde: teorias do Estado, participantes e modalidades de participação	1996		Saúde em Debate	01031104	49/50			73	79	['Participação', 'Conselhos de Saúde', 'Reforma do Estado', 'Conselhos de Políticas Públicas']	CORTES, S. M. V.	1
1805029396938951	As origens da idéia de participação na área de saúde	1997		Saúde em Debate	01031104	51			30	37	['Participação', 'História das Políticas de Saúde', 'Conselhos de Saúde', 'Reforma do Estado', 'Conselhos de Políticas Públicas']	CORTES, S. M. V.	1
1805029396938951	Técnicas de coleta e análise qualitativa de dados	1998		Revista Cadernos de Sociologia	0103894X	9			11	47	['Metodologia de Pesquisa Social', 'Análise Qualitativa']	CORTES, S. M. V.	1
1805029396938951	Conflitualidade e mudança face a novos cenários globais: o caso dos sistemas de saúde português e brasileiro	2000		Revista Crítica de Ciências Sociais	02541106	57/58			259	290	['Política de Saúde Portugal', 'Reforma do Estado', 'Globalização', 'Conflitualidade']	CORTES, S. M. V.; CARAPINHEIRO, G.	2
1805029396938951	Avaliando desigualdades e promovendo eqüidade em saúde	1999		Saúde Revista do Nipesc	14138816	3/4			39	54	['Desigualdade em Saude']	CORTES, S. M. V.	1
1805029396938951	Balanço de experiências de controle social, para além dos conselhos e conferências no Sistema Único de Saúde Brasileiro: construindo a possibilidade da participação dos usuários	2001		Revista Humanas (IFCH/UFRGS)	14150718	24	1-2		115	129	['Participação', 'Conferências de Saúde']	CORTES, S. M. V.	1
1805029396938951	Apresentação: saúde e gerações	2002	10.1590/S1517-45222002000100001	Sociologias (UFRGS. Impresso)	15174522			7	16	17	['Gerações']	CORTES, S. M. V.	1
1805029396938951	Proposta de metodologia para selecionar indicadores de desigualdade em saúde visando definir prioridades de políticas públicas no Brasil	2003		Ciência e Saúde Coletiva (Impresso)	14138123	8	2		461	470	['Desigualdade em Saude', 'Metodologia de Pesquisa Social']	DRACHLER, M.L.; CORTES, S. M. V.; CASTRO, J. D.	3
1805029396938951	O governo do Estado como protagonista da regionalização e da participação: o caso Rio Grande do Sul - 1991 A 2003	2003		Caderno CRH (UFBA. Impresso)	01034979	39			83	103	['Participação', 'Orçamento Participativo', 'Orçamento Participativo Estadual', 'Consulta Popular']	CORTES, S. M. V.	1
1805029396938951	Arcabouço histórico-institucional e a conformação de conselhos municipais de políticas públicas	2005		Educar em Revista (Impresso)	01044060	25			143	174	['Participação', 'Conselhos de Políticas Públicas', 'Conselhos de Assistência Social', 'Conselhos de Saúde', 'Conselhos de Educação', 'Conselhos de Trabalho']	CORTES, S. M. V.	1
1805029396938951	Sistema Único de Saúde: espaços decisórios e a arena política de saúde	2009		Cadernos de Saúde Pública (FIOCRUZ)	0102311X	25		7	1626	1633	['Politica de Saude Brasil', 'Conselho Nacional de Saúde', 'Comunidade Política']	CORTES, S. M. V.	1
