ID-Lattes	Instituição	Tipo-Vínculo	Enquadramento	Mês-Inicio	Ano-Inicio	Mês-Fim	Ano-Fim	Outras-Informações	Outro-Vínculo	Outro-Enquadramento-Funcional
2542913266521798	Universidade Federal de Minas Gerais	SERVIDOR_PUBLICO	LIVRE	11	2004			Representante Titular ou Suplente em Colegiados de Cursos de Graduação no âmbito da UFMG, com mandatos exercidos por 24 meses.		Representante Titular ou Suplente
2542913266521798	Universidade Federal de Minas Gerais	SERVIDOR_PUBLICO	LIVRE	09	2008			Participação em Comissões e Conselhos da Universidade por determinação de Portarias assinadas pelo Magnifico Reitor da UFMG		Comissões da Reitoria da UFMG
2542913266521798	Universidade Federal de Minas Gerais	LIVRE	PROFESSOR_TITULAR	11	2015	11	2015	Professor Titular aprovado em 04/11/2015 com apresentação de Tese intitulada "Recursos Humanos e Vínculos Profissionais Análise Descritiva em Hospitais de Pequeno Porte do Brasil", apresentada à Universidade Federal de Minas Gerais conforme Resolução Complementar N° 04/2014, de 09 de setembro de 2014 que dispõe sobre as progressões e promoções dos integrantes das Carreiras de Magistério da Universidade Federal de Minas Gerais.		
2542913266521798	Universidade Federal de Minas Gerais	SERVIDOR_PUBLICO	PROFESSOR_TITULAR	01	2015			Professor do Programa de Pós Graduação (M e D) em Inovação Tecnológica e Propriedade Intelectual - Modalidade Profissional - da UFMG		
2542913266521798	Universidade Federal de Minas Gerais	SERVIDOR_PUBLICO	PROFESSOR_TITULAR	07	2016			Professor do Programa de Mestrado e Doutorado em Inovação Tecnológica e Propriedade Intelectual da UFMG		
3386402716993689	Pontifícia Universidade Católica do Rio de Janeiro	CELETISTA	LIVRE	10	2009					professora Associada 2
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	9	1996	8	1998			Professor Assistente I
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	9	1998	8	2000			Professor Assistente II
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	9	2000	8	2002			Professor Assistente III
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	9	2002	9	2003			Professor Assistente IV
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	9	2003	9	2005			Professor Adjunto I
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	9	2005	09	2007	Promovido pelo Ato Nº. 0392 de 13 de dezembro de 2005.		Professor Adjunto II
3539564256173485	Universidade Federal de Viçosa	SERVIDOR_PUBLICO	LIVRE	09	2007	05	2009	Promovido a Adjunto III pelo ato N. 033 de 15 de janeiro de 2008.		Professor Adjunto III
3539564256173485	Fundação Getúlio Vargas	CELETISTA	LIVRE	08	2019					Professor Adjunto
3539564256173485	Universidade de Brasília	SERVIDOR_PUBLICO	LIVRE	05	2009	02	2010			Professor Adjunto III
3539564256173485	Universidade de Brasília	LIVRE	LIVRE	03	2010	02	2012			Professor Adjunto IV
