id_lattes	titulo	autores
0132962254118970	Introdução ao Encontro do Curso de Especialização em Psicoterapia Psicanalítica: Desafios da Psicoterapia Psicanalítica na Atualidade	YAMAMOTO, Kayoko; SIMON, Ryad
0132962254118970	Psicoterapia Breve para o idoso: uma revisão da literatura	ALTMAN, M.; Tania M A Campos; YAMAMOTO, Kayoko
0132962254118970	Introdução ao Encontro do Curso de Especialização em Psicoterapia Psicanalítica: Psicoterapia Psicanalítica na Atualidade	SIMON, Ryad; YAMAMOTO, Kayoko
0132962254118970	Aplicação da Escala Diagnóstica Adaptativa as Relações Familiares: Um estudo Piloto	Coniaric, Janaína; YAMAMOTO, Kayoko
0132962254118970	OFICINAS PSICOTERAPÊUTICAS NO HOSPITAL PSIQUIÁTRICO: UMA PROPOSTA DE ATENÇÃO PSICOLÓGICA EM SAÚDE MENTAL	Carvalho Silva, Danilo de; Shiroma, Monique Sayuri Xavier; YAMAMOTO, Kayoko; TARDIVO, Leila Salomão La Plata Cury
0132962254118970	Atendimento clínico: considerações a partir do EDAO	ZOGHEIB, C. H. A.; YAMAMOTO, Kayoko
0132962254118970	Introdução ao Encontro do Curso de Especialização em Psicoterapia Psicanalítica	YAMAMOTO, Kayoko; SIMON, Ryad
0132962254118970	Diagnóstico Adaptativo Familiar: Um Estudo Piloto	Coniaric, Janaína; YAMAMOTO, Kayoko
0132962254118970	A onipresença da onipotência - consequências psicoterápicas e meditativas	SIMON, Ryad; YAMAMOTO, Kayoko
0132962254118970	PSICOTERAPIA BREVE OPERACIONALIZADA (PBO) EM MULHER COM DEPRESSÃO PÓS-PARTO: ANÁLISE DE CASO	KIM, Hi Ryung; YAMAMOTO, Kayoko; Simon, Ryad
0132962254118970	PSICOLOGIA CLÍNICA PREVENTIVA: OS DESAFIOS DA PESQUISA	Valentim, Nirã dos Santos; KIM, Hi Ryung; ALVES, Manuela Vilanova Barbosa; Leonardi, Liliana Cremaschi; YAMAMOTO, Kayoko; Motta, Ivonise Fernandes; SIMON, Ryad
0134430623871910	Modelo dq de Motor de Indução Saturado Incluindo o 3o. Harmônico Espacial de Fluxo Magnetizante	SOUZA, E. V. N.; NAIDU, S. R.
0134430623871910	Supression of Numerical Oscilations in Power Electronics Converter Simulation	NAIDU, S. R.; SOUZA, E. V. N.; LIMA, A. M. N.
0134430623871910	Supressão de Oscilações Numéricas em Simulações de Conversores de Eletrônica de Potência	NAIDU, S. R.; SOUZA, E. V. N.; LIMA, A. M. N.
0134430623871910	Accurate Modeling of the Three Phase Induction Motor Including Saturation Effects	SOUZA, E. V. N.; NAIDU, S. R.
0134430623871910	Controlled rectifier five-level four-switch topology	SOUZA, E. V. N.; NEZAMUDDIN, Omar N.; Dos SANTOS , E. C.; SAJADIAN, Sally
0134430623871910	Sliding Mode Control Applied on a Three-level Single-Phase T-Converter Rectifier	SOUZA, E. V. N.; Dos SANTOS Jr., E. C.; DIAS, J. A. A.; FABRICIO, E. L. L.
0134430623871910	Simulation of the Three Phase Induction Machine Including the Effects of Saturation	SOUZA, E. V. N.; NAIDU, S. R.
0138635150609180	Design para o terceiro milênio	BASTOS, Helena Rugai
0138635150609180	Rotina do designer free lancer	BASTOS, Helena Rugai
0138635150609180	Imagem e qualidade: a identidade corporativa e política da organização	BASTOS, Helena Rugai
0138635150609180	Design gráfico e identidade visual: o trabalho do Programador Visual	BASTOS, Helena Rugai
0138635150609180	Identidade e qualidade: a gestão de design	BASTOS, Helena Rugai
0138635150609180	Marca Voluntários:a construção de uma identidade	BASTOS, Helena Rugai
0138635150609180	Leitura Segura: o trabalhador e a comunicação visual	BASTOS, Helena Rugai; SMITH JUNIOR, Jorgson Ksam
0138635150609180	Profissão Design	BASTOS, Helena Rugai
0138635150609180	The design of Fred Jordan	BASTOS, HELENA RUGAI
0138635150609180	História do Design Gráfico II no curso de Design Digital	BASTOS, HELENA RUGAI
0138635150609180	História do Design Gráfico I no curso de Design Digital	BASTOS, HELENA RUGAI
0138635150609180	História do Design	BASTOS, HELENA RUGAI
0138635150609180	MATERIAIS, TÉCNICAS E PROCESSOS DE DESIGN: DIRETRIZES PARA A IMPLEMENTAÇÃO DE OBSERVATÓRIO DE MUDANÇAS	SOUSA, CYNTIA SANTOS MALAGUTI DE; BASTOS, HELENA RUGAI
0138635150609180	Métodos analítico e participativo para avaliação de usabilidade: estudo comparativo	REIS, P. C.; BASTOS, Helena Rugai
0138635150609180	Interfaces e usabilidade: organização de critérios para avaliação	MARIZ, L. K. P.; BASTOS, Helena Rugai
0138635150609180	Interpretando o artefato: uma proposta metodológica de análise semiótica aplicada ao Design	SOUSA, G. A. L.; BASTOS, Helena Rugai
0138635150609180	Análise sobre design da informação e sua contribuição para a produção e divulgação de práticas ciberativistas	OLIVEIRA NETO, G. L.; BASTOS, Helena Rugai
0138635150609180	Monitoring materials and technique employment in academic design projects - Preliminary guidelines for implementing a design school research observatory in Brazil	SOUSA, C. S. M.; BASTOS, Helena Rugai
