id_lattes	titulo	autores
0004271179529050	Biodigestão anaeróbica no tratamento de dejetos suínos	RIZZONI, L. B.; TOBIAS, A. C. T.; DEL BIANCHI, M.; Garcia
0004271179529050	Perda embrionária precoce em bovinos	RIZZONI, L. B.
0004271179529050	Principais Doenças dos Neonatos Equinos	RIZZONI, L. B.; Myauchi, T. A.
0004271179529050	Aplicação do cloprostenol sódico no período puerperal de cabras leiteiras	RIZZONI, L. B.; Gioso, M. M.; RIBEIRO, S. D. A.; RIBEIRO, A. C.; Fernandes, C. A. C.; Garcia
0004271179529050	Sulfato de Cefquinoma e Cloprostenol Sódico no Tratamento de Retenção de Placenta em Vacas Leiteiras	Castro, Daniel Agostini de Miranda; RIZZONI, L. B.; LOYOLA, Y. S.; Gioso, M. M.; Fernandes, C. A. C.; Garcia
