ID-Lattes	Instituição	Tipo-Vínculo	Enquadramento	Mês-Inicio	Ano-Inicio	Mês-Fim	Ano-Fim	Outras-Informações	Outro-Vínculo	Outro-Enquadramento-Funcional
1733943530061609	Universidade Federal de Santa Catarina	SERVIDOR_PUBLICO	LIVRE	08	2014					Professor Adjunto C (Nível 2)
2055998711979194	Universidade Estadual Paulista Júlio de Mesquita Filho	LIVRE	LIVRE	01	1998	12	1998	Auxílio no desenvolvimento e implementação do laboratório de informática do Departamento de Engenharia Mecânica da Faculdade de Engenharia da UNESP, Câmpus de Bauru. Bolsa financiada pela universidade.	Bolsista	Bolsista
2193972715230641	Universidade de Brasília	SERVIDOR_PUBLICO	LIVRE	02	2013	02	2018	Professor do Bacharelado em Engenharia de Software da Faculdade UnB Gama.		Professor Adjunto
2193972715230641	Universidade Federal de São Paulo	SERVIDOR_PUBLICO	LIVRE	02	2018			Professor vinculado ao Setor de Bioinformática, do Departamento de Informática em Saúde, Escola Paulista de Medicina.		Professor Adjunto
5834088144837137	Universidade Tecnológica Federal do Paraná	SERVIDOR_PUBLICO	LIVRE	08	2010					Professor 3 Grau
